,REW,CHAR,DISCH
t1,0.018872128,0.025641026,0.025641026
t2,0.017165378,0.025641026,0.025641026
t3,0.015479861,0.025641026,0.025641026
t4,0.014815148,0.025641026,0.025641026
t5,0.014640477,0.025641026,0.025641026
t6,0.015101974,0.025641026,0.025641026
t7,0.017323907,0.025641026,0.025641026
t8,0.021866318,0.025641026,0.025641026
t9,0.022687626,0.025641026,0.025641026
t10,0.022632312,0.025641026,0.025641026
t11,0.023539775,0.025641026,0.025641026
t12,0.024153055,0.025641026,0.025641026
t13,0.025002242,0.025641026,0.025641026
t14,0.026148843,0.025641026,0.025641026
t15,0.028482657,0.025641026,0.025641026
t16,0.035324217,0.025641026,0.025641026
t17,0.053079881,0.025641026,0.025641026
t18,0.067077457,0.025641026,0.025641026
t19,0.043782645,0.025641026,0.025641026
t20,0.033252185,0.025641026,0.025641026
t21,0.02868827,0.025641026,0.025641026
t22,0.026761757,0.025641026,0.025641026
t23,0.023974723,0.025641026,0.025641026
t24,0.021050776,0.025641026,0.025641026
